CandleTime,UtcTime,Signal,ProdTrade,SkipReason,Classification
1779898500,2026-05-27 16:15 UTC,,,no_signal,no_signal
1779898800,2026-05-27 16:20 UTC,,,no_signal,no_signal
1779899100,2026-05-27 16:25 UTC,,,no_signal,no_signal
1779899400,2026-05-27 16:30 UTC,,,no_signal,no_signal
1779899700,2026-05-27 16:35 UTC,,,no_signal,no_signal
1779900000,2026-05-27 16:40 UTC,,,no_signal,no_signal
1779900300,2026-05-27 16:45 UTC,,,no_signal,no_signal
1779900600,2026-05-27 16:50 UTC,,,no_signal,no_signal
1779900900,2026-05-27 16:55 UTC,,,no_signal,no_signal
1779901200,2026-05-27 17:00 UTC,,,no_signal,no_signal
1779901500,2026-05-27 17:05 UTC,,,no_signal,no_signal
1779901800,2026-05-27 17:10 UTC,,,no_signal,no_signal
1779902100,2026-05-27 17:15 UTC,long,yes,,aligned
1779902400,2026-05-27 17:20 UTC,long,,entry_price_out_of_range,execution_skip
1779902700,2026-05-27 17:25 UTC,,,no_signal,no_signal
1779903000,2026-05-27 17:30 UTC,,,no_signal,no_signal
1779903300,2026-05-27 17:35 UTC,,,no_signal,no_signal
1779903600,2026-05-27 17:40 UTC,,,no_signal,no_signal
1779903900,2026-05-27 17:45 UTC,long,yes,,aligned
1779904200,2026-05-27 17:50 UTC,long,yes,,aligned
1779904500,2026-05-27 17:55 UTC,long,yes,,aligned
1779904800,2026-05-27 18:00 UTC,long,yes,,aligned
1779905100,2026-05-27 18:05 UTC,long,yes,,aligned
1779905400,2026-05-27 18:10 UTC,long,,entry_price_out_of_range,execution_skip
1779905700,2026-05-27 18:15 UTC,long,yes,,aligned
1779906000,2026-05-27 18:20 UTC,long,yes,,aligned
1779906300,2026-05-27 18:25 UTC,long,yes,,aligned
1779906600,2026-05-27 18:30 UTC,,,no_signal,no_signal
1779906900,2026-05-27 18:35 UTC,,,no_signal,no_signal
1779907200,2026-05-27 18:40 UTC,,,no_signal,no_signal
1779907500,2026-05-27 18:45 UTC,,,no_signal,no_signal
1779907800,2026-05-27 18:50 UTC,,,no_signal,no_signal
1779908100,2026-05-27 18:55 UTC,,,no_signal,no_signal
1779908400,2026-05-27 19:00 UTC,,,no_signal,no_signal
1779908700,2026-05-27 19:05 UTC,,,no_signal,no_signal
1779909000,2026-05-27 19:10 UTC,,,no_signal,no_signal
1779909300,2026-05-27 19:15 UTC,,,no_signal,no_signal
1779909600,2026-05-27 19:20 UTC,,,no_signal,no_signal
1779909900,2026-05-27 19:25 UTC,,,no_signal,no_signal
1779910200,2026-05-27 19:30 UTC,,,no_signal,no_signal
1779910500,2026-05-27 19:35 UTC,,,no_signal,no_signal
1779910800,2026-05-27 19:40 UTC,,,no_signal,no_signal
1779911100,2026-05-27 19:45 UTC,,,no_signal,no_signal
1779911400,2026-05-27 19:50 UTC,,,no_signal,no_signal
1779911700,2026-05-27 19:55 UTC,,,no_signal,no_signal
1779912000,2026-05-27 20:00 UTC,,,no_signal,no_signal
1779912300,2026-05-27 20:05 UTC,short,yes,,aligned
1779912600,2026-05-27 20:10 UTC,short,,entry_price_out_of_range,execution_skip
1779912900,2026-05-27 20:15 UTC,short,yes,,aligned
1779913200,2026-05-27 20:20 UTC,short,yes,,aligned
1779913500,2026-05-27 20:25 UTC,short,yes,,aligned
1779913800,2026-05-27 20:30 UTC,short,yes,,aligned
1779914100,2026-05-27 20:35 UTC,short,yes,,aligned
1779914400,2026-05-27 20:40 UTC,short,yes,,aligned
1779914700,2026-05-27 20:45 UTC,short,yes,,aligned
1779915000,2026-05-27 20:50 UTC,short,,entry_price_out_of_range,execution_skip
1779915300,2026-05-27 20:55 UTC,short,yes,,aligned
1779915600,2026-05-27 21:00 UTC,short,,entry_price_out_of_range,execution_skip
1779915900,2026-05-27 21:05 UTC,,,no_signal,no_signal
1779916200,2026-05-27 21:10 UTC,,,no_signal,no_signal
1779916500,2026-05-27 21:15 UTC,,,no_signal,no_signal
1779916800,2026-05-27 21:20 UTC,,,no_signal,no_signal
1779917100,2026-05-27 21:25 UTC,,,no_signal,no_signal
1779917400,2026-05-27 21:30 UTC,,,no_signal,no_signal
1779917700,2026-05-27 21:35 UTC,,,no_signal,no_signal
1779918000,2026-05-27 21:40 UTC,long,yes,,aligned
1779918300,2026-05-27 21:45 UTC,long,yes,,aligned
1779918600,2026-05-27 21:50 UTC,long,yes,,aligned
1779918900,2026-05-27 21:55 UTC,long,yes,,aligned
1779919200,2026-05-27 22:00 UTC,long,yes,,aligned
1779919500,2026-05-27 22:05 UTC,long,,entry_price_out_of_range,execution_skip
1779919800,2026-05-27 22:10 UTC,long,yes,,aligned
1779920100,2026-05-27 22:15 UTC,long,yes,,aligned
1779920400,2026-05-27 22:20 UTC,long,yes,,aligned
1779920700,2026-05-27 22:25 UTC,long,yes,,aligned
1779921000,2026-05-27 22:30 UTC,long,yes,,aligned
1779921300,2026-05-27 22:35 UTC,,,no_signal,no_signal
1779921600,2026-05-27 22:40 UTC,,,no_signal,no_signal
1779921900,2026-05-27 22:45 UTC,,,no_signal,no_signal
1779922200,2026-05-27 22:50 UTC,,,no_signal,no_signal
1779922500,2026-05-27 22:55 UTC,long,,entry_price_out_of_range,execution_skip
1779922800,2026-05-27 23:00 UTC,long,yes,,aligned
1779923100,2026-05-27 23:05 UTC,long,yes,,aligned
1779923400,2026-05-27 23:10 UTC,long,yes,,aligned
1779923700,2026-05-27 23:15 UTC,long,,entry_price_out_of_range,execution_skip
1779924000,2026-05-27 23:20 UTC,,,no_signal,no_signal
1779924300,2026-05-27 23:25 UTC,long,yes,,aligned
1779924600,2026-05-27 23:30 UTC,long,,entry_price_out_of_range,execution_skip
1779924900,2026-05-27 23:35 UTC,long,yes,,aligned
1779925200,2026-05-27 23:40 UTC,long,yes,,aligned
1779925500,2026-05-27 23:45 UTC,long,yes,,aligned
1779925800,2026-05-27 23:50 UTC,,,no_signal,no_signal
1779926100,2026-05-27 23:55 UTC,,,no_signal,no_signal
1779926400,2026-05-28 00:00 UTC,,,no_signal,no_signal
1779926700,2026-05-28 00:05 UTC,,,no_signal,no_signal
1779927000,2026-05-28 00:10 UTC,,,no_signal,no_signal
1779927300,2026-05-28 00:15 UTC,,,no_signal,no_signal
