Id,CandleTime,UtcTime,Side,Trend,EntryPrice,StakeUsd,PnlUsd_prod,Won_prod,Signal_side,Signal_match,Open,Close,Won_candle,Pnl_bt_A,Pnl_bt_C,Pnl_at_0.5,Entry_edge
431,1779940800,2026-05-28 04:00 UTC,Up,Long,0.5,4.44,-4.44,0,long,yes,73258.0,73105.37,0,-4.0553,-4.44,-4.44,0.0
432,1779941100,2026-05-28 04:05 UTC,Up,Long,0.49,4.508,4.692,1,long,yes,73105.37,73199.75,1,3.9944,4.692,4.508,0.184
433,1779941700,2026-05-28 04:15 UTC,Up,Long,0.5,4.58,-4.58,0,long,yes,73082.07,72993.83,0,-3.9935,-4.58,-4.58,0.0
434,1779942000,2026-05-28 04:20 UTC,Up,Long,0.39,4.5084,-4.5084,0,long,yes,72993.83,72904.95,0,-3.9336,-4.5084,-4.5084,0.0
435,1779942600,2026-05-28 04:30 UTC,Up,Long,0.49,4.3757,4.5543,1,long,yes,73004.4,73096.66,1,3.9327,4.5543,4.3757,0.1786
436,1779945000,2026-05-28 05:10 UTC,Up,Long,0.5,4.575,-4.575,0,long,yes,73029.39,73024.46,0,-3.9908,-4.575,-4.575,0.0
437,1779945600,2026-05-28 05:20 UTC,Up,Long,0.47,4.506,5.0812,1,long,yes,72976.29,73027.58,1,3.872,5.0812,4.506,0.5752
438,1779945900,2026-05-28 05:25 UTC,Up,Long,0.5,4.44,-4.44,0,long,yes,73027.58,72958.01,0,-3.9301,-4.44,-4.44,0.0
439,1779946200,2026-05-28 05:30 UTC,Up,Long,0.5,4.515,4.515,1,long,yes,72958.01,73029.01,1,3.8711,4.515,4.515,0.0
440,1779947400,2026-05-28 05:50 UTC,Up,Long,0.49,4.5864,4.7736,1,long,yes,72996.0,73044.02,1,3.9292,4.7736,4.5864,0.1872
441,1779953700,2026-05-28 07:35 UTC,Down,Short,0.49,4.655,-4.655,0,short,yes,73374.01,73419.39,0,-3.9881,-4.655,-4.655,0.0
442,1779954000,2026-05-28 07:40 UTC,Down,Short,0.48,4.5888,-4.5888,0,short,yes,73419.39,73502.0,0,-3.9283,-4.5888,-4.5888,0.0
